name,lat,lon
SM_Marikina,14.626654,121.085068	
SM_Masinag,	14.62582,121.120403
SM_Hypermarket_Pasig,14.5842567,121.0775532
SM_Megamall,14.5841875,121.0569375
PSFInc_-_Pililla,14.3926935,121.3379183
SM_Angono,14.5312,121.154
SM_Aura,14.5452,121.0532
SM_BF_Homes,14.4579,121.0323
SM_Bicutan,14.4861,121.0432
SM_Center_Las_Pinas,14.4485,120.9813
SM_Clark,15.1697,120.5807
SM_Cubao,14.6182657,121.0558438
SM_Downtown_San_Fernando,15.02778,120.6922
SM_Marilao,14.7549,120.9553
SM_Novaliches,14.7085,121.038
SM_Olongapo,14.8261,120.283
SM_Rosario,14.4094,120.8576
SM_San_Lazaro,14.618333,120.986389
SM_Southmall,14.4332,121.0108
SM_Sta_Mesa,14.6040133,121.0191599
SM_Tarlac,15.4784,120.594
SM_Taytay,14.5657,121.1413
North_Wind_-_Ilocos_Norte,18.5268,120.6872
SM_Baguio,16.4071,120.5989
SM_Batangas,13.755,121.0681
SM_Calamba,14.2029,121.1552
SM_Cauayan,16.9374,121.7697
SM_Lipa,13.9548,121.1631
SM_Lucena,13.9414,121.6259
SM_Pampanga,15.0525,120.7022
SM_Rosales,15.8784,120.6006
SM_San_Pablo,14.0714,121.3017
SM_Sta_Rosa,14.3132,121.0989
The_Country_Club,14.2306,121.0717
