name,lat,lon
NCR,14.636002,121.077445
Baguio,16.4,120.6
Vigan,17.5705,120.3873
Tuguegarao,17.6167,121.7167
San Fernando,16.6167,120.3167
Tarlac,15.4802,120.5979
Clark,15.1865,120.5576
Batangas,13.75,121.05
Puerto Princesa,9.75,118.75
Calapan,13.3667,121.2
Legazpi,13.1333,123.7333
Iloilo,10.749819,122.539315
Cebu,10.3,123.9
Tacloban,11.2444,125.0039
Zamboanga,6.9167,122.0833
CDO,8.4768,124.6463
Davao,7.07,125.58
Koronadal,6.2541,124.9922
General Santos,6.1167,125.1667
Surigao,9.7833,125.4833
Bongao,5.0292,119.7731
Balesin,14.425484,122.035444
